x [um]	Electric Field [V/cm]	Electric Field [V/cm]
0.768896	2.09805	2.09806
0.769547	2.09803	2.09804
0.770198	2.09801	2.09802
0.770849	2.09798	2.098
0.771499	2.09796	2.09797
0.77215	2.09794	2.09795
0.772801	2.09792	2.09793
0.773452	2.0979	2.09791
0.774102	2.09788	2.09789
0.774753	2.09786	2.09787
0.775404	2.09784	2.09785
0.776055	2.09782	2.09783
0.776705	2.0978	2.09781
0.777356	2.09778	2.09779
0.778007	2.09776	2.09777
0.778657	2.09774	2.09775
0.779308	2.09772	2.09773
0.779959	2.0977	2.09771
0.78061	2.09768	2.09769
0.78126	2.09766	2.09767
0.781911	2.09763	2.09764
0.782562	2.09761	2.09762
0.783213	2.09759	2.0976
0.783863	2.09757	2.09758
0.784514	2.09755	2.09756
0.785165	2.09753	2.09754
0.785815	2.09751	2.09752
0.786466	2.09749	2.0975
0.787117	2.09747	2.09748
0.787768	2.09745	2.09746
0.788418	2.09743	2.09744
0.789069	2.09741	2.09742
0.78972	2.09739	2.0974
0.790371	2.09737	2.09738
0.791021	2.09735	2.09736
0.791672	2.09732	2.09734
