x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
0.362189	-0.346552	-0.0010153	-0.00102339	22500	1e+16	1.62967e+09	0.898227
0.36284	-0.346552	-0.000999369	-0.00100733	22500	1e+16	1.6041e+09	0.898227
0.36349	-0.346552	-0.000983692	-0.00099153	22500	1e+16	1.57894e+09	0.898227
0.364141	-0.346552	-0.000968261	-0.000975976	22500	1e+16	1.55417e+09	0.898227
0.364792	-0.346552	-0.000953074	-0.000960667	22500	1e+16	1.52979e+09	0.898227
0.365442	-0.346552	-0.000938122	-0.000945598	22500	1e+16	1.50579e+09	0.898227
0.366093	-0.346552	-0.000923407	-0.000930764	22500	1e+16	1.48217e+09	0.898227
0.366744	-0.346552	-0.00090892	-0.000916163	22500	1e+16	1.45891e+09	0.898227
0.367395	-0.346552	-0.000894662	-0.000901791	22500	1e+16	1.43603e+09	0.898227
0.368045	-0.346552	-0.000880629	-0.000887646	22500	1e+16	1.4135e+09	0.898227
0.368696	-0.346552	-0.000866815	-0.000873722	22500	1e+16	1.39132e+09	0.898227
0.369347	-0.346552	-0.000853217	-0.000860016	22500	1e+16	1.3695e+09	0.898227
0.369998	-0.346552	-0.000839835	-0.000846526	22500	1e+16	1.34801e+09	0.898227
0.370648	-0.346552	-0.000826659	-0.000833247	22500	1e+16	1.32687e+09	0.898227
0.371299	-0.346552	-0.000813692	-0.000820176	22500	1e+16	1.30605e+09	0.898227
0.37195	-0.346552	-0.000800927	-0.00080731	22500	1e+16	1.28556e+09	0.898227
0.372601	-0.346552	-0.000788363	-0.000794645	22500	1e+16	1.26539e+09	0.898227
0.373251	-0.346552	-0.000775997	-0.00078218	22500	1e+16	1.24554e+09	0.898227
0.373902	-0.346552	-0.000763824	-0.000769911	22500	1e+16	1.226e+09	0.898227
0.374553	-0.346552	-0.000751842	-0.000757833	22500	1e+16	1.20677e+09	0.898227
0.375203	-0.346552	-0.000740049	-0.000745946	22500	1e+16	1.18784e+09	0.898227
0.375854	-0.346552	-0.00072844	-0.000734245	22500	1e+16	1.1692e+09	0.898227
0.376505	-0.346552	-0.000717013	-0.000722727	22500	1e+16	1.15086e+09	0.898227
